query_id	chunk_id	label
1	35	Partial
1	37	Exact
1	51	Partial
1	315	Partial
1	486	Partial
1	489	Partial
1	528	Partial
1	600	Partial
1	793	Exact
1	799	Exact
1	807	Exact
1	809	Partial
1	810	Partial
1	811	Exact
1	812	Partial
1	813	Partial
1	818	Partial
1	820	Partial
1	822	Partial
1	823	Partial
1	907	Partial
1	932	Partial
1	1014	Partial
1	1147	Partial
1	1148	Partial
1	1162	Exact
1	1167	Partial
1	1284	Partial
1	1593	Partial
1	1689	Partial
1	1711	Partial
1	1712	Partial
1	1713	Partial
2	153	Partial
2	174	Partial
2	265	Partial
2	332	Partial
2	335	Partial
2	336	Partial
2	337	Exact
2	338	Partial
2	346	Exact
2	396	Partial
2	435	Partial
2	610	Exact
2	624	Exact
2	626	Partial
2	657	Partial
2	659	Partial
2	678	Partial
2	794	Exact
2	861	Exact
2	969	Partial
2	1071	Partial
2	1285	Partial
2	1349	Exact
2	1384	Partial
2	1388	Exact
2	1389	Exact
2	1485	Exact
2	1486	Partial
2	1637	Partial
3	485	Exact
3	599	Partial
3	837	Exact
3	839	Partial
3	840	Partial
3	841	Partial
3	846	Partial
3	851	Exact
3	852	Partial
3	984	Partial
3	1011	Partial
3	1116	Exact
3	1157	Exact
3	1500	Partial
3	1617	Partial
3	1645	Partial
4	70	Partial
4	244	Partial
4	593	Partial
4	720	Partial
4	722	Partial
4	723	Partial
4	900	Partial
4	901	Partial
4	1140	Partial
4	1151	Exact
4	1153	Partial
4	1154	Partial
4	1156	Partial
4	1163	Partial
4	1180	Exact
4	1671	Partial
4	1696	Partial
4	1697	Partial
4	1714	Partial
5	95	Partial
5	449	Partial
5	608	Exact
5	610	Partial
5	615	Partial
5	617	Partial
5	618	Partial
5	624	Partial
5	625	Partial
5	788	Partial
5	1026	Exact
5	1089	Partial
5	1262	Partial
5	1287	Partial
5	1348	Partial
5	1349	Exact
5	1351	Exact
5	1352	Partial
5	1353	Exact
5	1435	Partial
5	1485	Partial
5	1504	Partial
5	1505	Partial
5	1507	Partial
5	1508	Partial
6	21	Partial
6	22	Partial
6	39	Exact
6	40	Partial
6	41	Exact
6	42	Partial
6	43	Partial
6	44	Partial
6	45	Partial
6	46	Exact
6	58	Partial
6	59	Exact
6	62	Exact
6	130	Partial
6	131	Partial
6	160	Partial
6	456	Partial
6	804	Partial
6	1014	Partial
7	2	Partial
7	29	Partial
7	34	Partial
7	65	Partial
7	249	Partial
7	381	Partial
7	600	Partial
7	846	Partial
7	847	Partial
7	866	Exact
7	1013	Partial
7	1014	Partial
7	1028	Partial
7	1147	Partial
7	1163	Partial
7	1307	Partial
7	1689	Partial
7	1710	Exact
7	1712	Partial
7	1713	Partial
8	128	Partial
8	129	Partial
8	148	Exact
8	352	Partial
8	473	Partial
8	614	Partial
8	716	Partial
8	846	Partial
8	850	Exact
8	857	Partial
8	858	Partial
8	900	Partial
8	901	Partial
8	908	Partial
8	920	Partial
8	1097	Partial
8	1157	Partial
8	1303	Partial
8	1304	Partial
8	1379	Partial
8	1466	Exact
8	1467	Exact
8	1468	Partial
8	1665	Partial
8	1666	Partial
8	1667	Exact
8	1668	Partial
9	91	Partial
9	99	Exact
9	395	Partial
9	396	Partial
9	435	Partial
9	436	Partial
9	437	Partial
9	600	Partial
9	739	Partial
9	820	Partial
9	859	Partial
9	861	Exact
9	888	Partial
9	890	Partial
9	896	Partial
9	897	Exact
9	898	Exact
9	957	Exact
9	958	Partial
9	969	Partial
9	991	Partial
9	1530	Exact
9	1537	Exact
9	1538	Partial
9	1554	Exact
9	1618	Partial
9	1620	Exact
9	1621	Exact
10	27	Exact
10	28	Exact
10	29	Partial
10	35	Partial
10	38	Partial
10	47	Partial
10	65	Partial
10	138	Partial
10	250	Partial
10	252	Partial
10	365	Partial
10	487	Partial
10	790	Partial
10	793	Partial
10	797	Partial
10	799	Partial
10	810	Partial
10	813	Partial
10	818	Partial
10	820	Partial
10	822	Partial
10	1028	Partial
10	1041	Partial
10	1047	Partial
10	1146	Partial
10	1147	Exact
10	1148	Partial
10	1716	Partial
10	1717	Partial
10	1718	Partial
10	1719	Partial
10	1720	Partial
11	70	Partial
11	354	Partial
11	721	Partial
11	722	Partial
11	953	Exact
11	959	Partial
11	1077	Partial
11	1080	Partial
11	1151	Partial
11	1155	Exact
11	1156	Partial
11	1674	Exact
13	302	Partial
13	303	Partial
13	305	Partial
13	306	Partial
13	307	Partial
13	529	Partial
13	531	Partial
13	532	Exact
13	533	Exact
13	534	Exact
13	535	Partial
13	536	Partial
13	537	Partial
13	538	Partial
13	582	Partial
14	95	Exact
14	158	Partial
14	346	Partial
14	493	Partial
14	608	Exact
14	610	Partial
14	617	Partial
14	788	Partial
14	929	Partial
14	1026	Exact
14	1089	Exact
14	1262	Partial
14	1348	Partial
14	1351	Partial
14	1352	Partial
14	1353	Partial
14	1435	Partial
14	1504	Partial
14	1505	Exact
14	1506	Partial
14	1507	Exact
14	1508	Exact
14	1568	Partial
15	114	Partial
15	117	Exact
15	119	Partial
15	120	Partial
15	121	Partial
15	122	Partial
15	123	Exact
15	125	Partial
15	126	Partial
15	170	Partial
15	234	Partial
15	262	Partial
15	434	Partial
15	735	Exact
15	756	Partial
15	903	Partial
15	1016	Partial
15	1023	Partial
15	1125	Partial
15	1169	Exact
15	1170	Partial
15	1563	Partial
15	1679	Partial
17	317	Partial
17	321	Partial
17	564	Exact
17	565	Partial
17	582	Partial
17	583	Partial
17	588	Partial
17	924	Partial
17	1595	Partial
17	1596	Partial
17	1597	Partial
17	1598	Partial
17	1599	Partial
17	1600	Partial
17	1602	Partial
17	1605	Partial
17	1606	Partial
17	1607	Exact
17	1608	Partial
17	1609	Partial
17	1610	Partial
17	1611	Exact
17	1613	Partial
17	1616	Exact
19	96	Exact
19	97	Partial
19	172	Partial
19	366	Partial
19	442	Partial
19	445	Exact
19	490	Partial
19	608	Partial
19	849	Partial
19	859	Partial
19	918	Partial
19	1024	Partial
19	1027	Exact
19	1090	Exact
19	1091	Exact
19	1092	Partial
19	1093	Partial
19	1095	Partial
19	1096	Partial
19	1159	Partial
19	1161	Partial
19	1289	Partial
19	1387	Partial
19	1446	Partial
19	1550	Partial
19	1556	Exact
19	1557	Exact
19	1558	Exact
19	1570	Partial
20	128	Partial
20	838	Partial
20	839	Partial
20	849	Partial
20	852	Partial
20	853	Partial
20	897	Partial
20	911	Exact
20	912	Exact
20	913	Exact
20	914	Exact
20	915	Exact
20	1157	Partial
20	1158	Partial
20	1468	Partial
20	1665	Partial
20	1685	Partial
21	156	Exact
21	157	Exact
21	256	Partial
21	360	Partial
21	366	Exact
21	367	Partial
21	590	Partial
21	784	Exact
21	828	Exact
21	848	Partial
21	853	Partial
21	866	Partial
21	874	Exact
21	1089	Exact
21	1090	Exact
21	1091	Exact
21	1092	Exact
21	1093	Exact
21	1094	Partial
21	1160	Partial
21	1419	Partial
21	1496	Partial
21	1570	Partial
21	1578	Partial
21	1619	Partial
21	1636	Partial
22	17	Exact
22	19	Exact
22	71	Partial
22	72	Partial
22	262	Partial
22	270	Partial
