query_id	query	product_id	label
29	bathroom vanity knobs	33435	Exact
29	bathroom vanity knobs	23216	Exact
29	bathroom vanity knobs	26626	Exact
29	bathroom vanity knobs	17456	Exact
29	bathroom vanity knobs	8167	Exact
29	bathroom vanity knobs	12941	Exact
29	bathroom vanity knobs	23396	Exact
29	bathroom vanity knobs	16432	Exact
29	bathroom vanity knobs	16425	Exact
29	bathroom vanity knobs	13980	Exact
29	bathroom vanity knobs	8168	Exact
29	bathroom vanity knobs	16412	Exact
29	bathroom vanity knobs	18268	Exact
29	bathroom vanity knobs	23397	Exact
29	bathroom vanity knobs	16418	Exact
29	bathroom vanity knobs	33967	Exact
29	bathroom vanity knobs	16439	Exact
29	bathroom vanity knobs	31988	Exact
29	bathroom vanity knobs	33730	Exact
29	bathroom vanity knobs	23398	Exact
29	bathroom vanity knobs	33727	Exact
29	bathroom vanity knobs	25463	Exact
29	bathroom vanity knobs	16440	Exact
29	bathroom vanity knobs	25462	Exact
29	bathroom vanity knobs	25465	Exact
29	bathroom vanity knobs	11567	Exact
29	bathroom vanity knobs	30407	Exact
29	bathroom vanity knobs	19302	Exact
29	bathroom vanity knobs	23392	Exact
29	bathroom vanity knobs	24816	Exact
29	bathroom vanity knobs	23388	Exact
29	bathroom vanity knobs	16443	Exact
29	bathroom vanity knobs	26628	Exact
29	bathroom vanity knobs	8556	Exact
29	bathroom vanity knobs	7874	Exact
29	bathroom vanity knobs	9466	Exact
29	bathroom vanity knobs	17459	Exact
29	bathroom vanity knobs	26627	Exact
29	bathroom vanity knobs	16436	Exact
29	bathroom vanity knobs	33397	Exact
29	bathroom vanity knobs	16423	Exact
29	bathroom vanity knobs	16424	Exact
29	bathroom vanity knobs	42830	Exact
29	bathroom vanity knobs	23390	Exact
29	bathroom vanity knobs	35840	Exact
29	bathroom vanity knobs	35839	Exact
29	bathroom vanity knobs	35838	Exact
29	bathroom vanity knobs	36992	Exact
29	bathroom vanity knobs	30861	Exact
29	bathroom vanity knobs	20700	Exact
29	bathroom vanity knobs	19320	Exact
29	bathroom vanity knobs	19321	Exact
29	bathroom vanity knobs	35841	Exact
29	bathroom vanity knobs	35851	Exact
29	bathroom vanity knobs	27355	Exact
29	bathroom vanity knobs	22163	Exact
29	bathroom vanity knobs	16444	Exact
29	bathroom vanity knobs	35850	Exact
29	bathroom vanity knobs	23395	Exact
29	bathroom vanity knobs	23439	Exact
29	bathroom vanity knobs	23377	Exact
29	bathroom vanity knobs	35849	Exact
29	bathroom vanity knobs	16442	Exact
29	bathroom vanity knobs	16415	Exact
29	bathroom vanity knobs	33970	Exact
29	bathroom vanity knobs	22220	Exact
29	bathroom vanity knobs	16413	Exact
29	bathroom vanity knobs	16429	Exact
29	bathroom vanity knobs	16421	Exact
29	bathroom vanity knobs	16417	Exact
29	bathroom vanity knobs	35843	Exact
29	bathroom vanity knobs	35848	Exact
29	bathroom vanity knobs	35847	Exact
29	bathroom vanity knobs	16433	Exact
29	bathroom vanity knobs	31966	Exact
29	bathroom vanity knobs	42822	Exact
29	bathroom vanity knobs	42828	Exact
29	bathroom vanity knobs	31951	Exact
29	bathroom vanity knobs	18030	Exact
29	bathroom vanity knobs	33968	Exact
29	bathroom vanity knobs	8549	Exact
29	bathroom vanity knobs	33971	Exact
29	bathroom vanity knobs	4005	Exact
29	bathroom vanity knobs	24815	Exact
29	bathroom vanity knobs	24814	Exact
29	bathroom vanity knobs	35845	Exact
29	bathroom vanity knobs	35844	Exact
29	bathroom vanity knobs	19309	Exact
29	bathroom vanity knobs	12743	Exact
29	bathroom vanity knobs	42120	Exact
29	bathroom vanity knobs	42119	Exact
29	bathroom vanity knobs	33439	Exact
29	bathroom vanity knobs	19310	Exact
29	bathroom vanity knobs	16441	Exact
29	bathroom vanity knobs	25467	Exact
29	bathroom vanity knobs	33440	Exact
29	bathroom vanity knobs	33974	Exact
29	bathroom vanity knobs	23394	Exact
29	bathroom vanity knobs	16426	Exact
29	bathroom vanity knobs	17461	Exact
29	bathroom vanity knobs	19303	Exact
29	bathroom vanity knobs	8557	Exact
29	bathroom vanity knobs	31998	Exact
29	bathroom vanity knobs	26625	Exact
29	bathroom vanity knobs	33966	Exact
29	bathroom vanity knobs	42112	Exact
29	bathroom vanity knobs	42113	Exact
29	bathroom vanity knobs	16435	Exact
29	bathroom vanity knobs	23312	Exact
29	bathroom vanity knobs	22161	Exact
29	bathroom vanity knobs	16445	Exact
29	bathroom vanity knobs	1623	Exact
29	bathroom vanity knobs	35846	Exact
29	bathroom vanity knobs	37881	Exact
29	bathroom vanity knobs	33711	Exact
29	bathroom vanity knobs	13981	Exact
29	bathroom vanity knobs	33442	Exact
29	bathroom vanity knobs	23393	Exact
29	bathroom vanity knobs	26624	Exact
29	bathroom vanity knobs	37880	Exact
29	bathroom vanity knobs	19326	Exact
29	bathroom vanity knobs	23391	Exact
29	bathroom vanity knobs	8551	Exact
29	bathroom vanity knobs	12738	Exact
29	bathroom vanity knobs	18190	Exact
29	bathroom vanity knobs	25464	Exact
29	bathroom vanity knobs	39199	Exact
29	bathroom vanity knobs	39200	Exact
29	bathroom vanity knobs	23396	Exact
29	bathroom vanity knobs	33433	Exact
29	bathroom vanity knobs	16440	Exact
29	bathroom vanity knobs	23389	Exact
29	bathroom vanity knobs	16414	Exact
29	bathroom vanity knobs	31957	Exact
29	bathroom vanity knobs	17456	Exact
29	bathroom vanity knobs	33969	Exact
29	bathroom vanity knobs	33436	Exact
29	bathroom vanity knobs	33437	Exact
29	bathroom vanity knobs	42848	Exact
29	bathroom vanity knobs	23357	Exact
29	bathroom vanity knobs	23366	Exact
